address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),is_successful
"35, 16th Main Road, Near Nico Layout, 2nd stage, BTM Bangalore",JP Fish Land,Yes,No,3.6,24,BTM,Quick Bites,,Seafood,300.0,Delivery,Koramangala 7th Block,0
"103, 1st Cross Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM",Y Not Shawarma,No,No,3.7,0,BTM,Quick Bites,,Arabian,300.0,Delivery,BTM,0
"467, CK Complex, Opposite Fernhill Garden Aparment, Teacher's Colony, HSR Layout 5th Sector, HSR, Bangalore",New Udupi Grand,Yes,No,3.7,36,HSR,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",250.0,Dine-out,HSR,0
"197/293-3, 32nd Main, 1st Stage, BTM, Bangalore",sCoolMeal,No,No,3.7,0,BTM,"Takeaway, Delivery",,"North Indian, South Indian, Chinese, Pizza",300.0,Delivery,Koramangala 6th Block,0
"249/3, 2nd Cross, ITPL Main Road, Kundalahalli Colony, Brookefield, Bangalore",Punjabi Tasty Khana,Yes,No,3.1,158,Brookefield,Quick Bites,"Panneer Butter Masala, Paratha, Vegetable Biryani","North Indian, Chinese, Biryani",450.0,Delivery,Brookefield,0
"1170, 5th Main Road, Sector 7, HSR Layout, HSR, Banglore",Asha Tiffins,Yes,No,4.3,283,HSR,Quick Bites,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",South Indian,150.0,Delivery,Koramangala 4th Block,1
"Purva Riviera Apartment Commercial Complex, Spice Garden Layout, Lakshminarayana Pura, AECS Layout, Marathahalli, Bangalore",Kaati Zone,Yes,No,3.3,184,Marathahalli,Quick Bites,"Rolls, Falafel, Biryani, Paratha","Fast Food, Biryani, Rolls",350.0,Delivery,Brookefield,0
"D'Brooks, 496, 1st Main Rd, B Block, AECS Layout, Brookefield, Bengaluru, Karnataka",D'Brooks,Yes,No,3.4,8,Brookefield,Quick Bites,,"North Indian, Continental",400.0,Delivery,Brookefield,0
"545, 3rd Floor, CMH Road, Indiranagar, Bangalore",Aagaman Veg,Yes,No,4.0,556,Indiranagar,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun","North Indian, Chinese, South Indian",900.0,Delivery,Indiranagar,1
"1677, 9th Main, 4th Cross, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Mood For Food,Yes,No,4.1,146,Jeevan Bhima Nagar,Casual Dining,"Tandoori Chicken, Chicken Biryani, Paratha, Butter Chicken","North Indian, Biryani",800.0,Delivery,Indiranagar,1
"No.16/30, Ground Floor, NS Palya, Bannerghatta Main Road, BTM layout, Bangalore",Fresh Kitchen,Yes,No,3.4,25,Bannerghatta Road,Casual Dining,,"North Indian, Chinese",600.0,Dine-out,Koramangala 7th Block,0
"10th Main, Vasanth Nagar, Bangalore",Behrouz Biryani,Yes,No,4.2,128,Vasanth Nagar,Delivery,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",Biryani,650.0,Delivery,Frazer Town,1
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Delivery,Banashankari,0
"4th Floor, Food Court, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",Currylicious,No,No,3.4,58,Nagawara,Quick Bites,"Neer Dosa, Biryani, Malabari Paratha, Thali, Chicken Curry","South Indian, Mangalorean, Kerala",500.0,Delivery,Kammanahalli,0
"The Ambara, 22, Annaswami Mudaliar Road, Near Ulsoor Lake, Ulsoor, Bangalore",Cafe Cerrise,No,No,3.8,99,Ulsoor,Cafe,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad",600.0,Cafes,Residency Road,1
"Radisson Blu, 1, Palace Road, Race Course Road, Bangalore",The Whiskey Bar,No,Yes,3.7,43,Race Course Road,Bar,,"Finger Food, North Indian",2800.0,Pubs and bars,Church Street,0
"88, Near City Railway Station Entrance, Majestic, Bangalore",Pavana Veg Restaurant,No,No,3.1,12,Majestic,Quick Bites,,"North Indian, South Indian, Chinese, Street Food",300.0,Dine-out,Rajajinagar,0
"1365, 28th Main, 9th Block, Jayanagar, Bangalore",Hotel Smile,Yes,No,3.1,6,Jayanagar,Casual Dining,,"North Indian, Chinese",550.0,Delivery,Koramangala 5th Block,0
"1st Floor, 1st Cross, Next to Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Innate,No,No,3.3,7,Koramangala 7th Block,Delivery,,Beverages,400.0,Delivery,BTM,0
"St. Mark's Hotel, 4/1, St. Marks Road, Bangalore",Luscious - St. Mark's Hotel,No,No,3.7,11,St. Marks Road,Lounge,,"North Indian, Continental",1200.0,Dine-out,MG Road,0
"18, 7th Main, 80 Feet Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",New Kadai,Yes,No,3.4,23,Kalyan Nagar,Casual Dining,,"North Indian, Chinese",550.0,Delivery,Kalyan Nagar,0
"FB 10, 3rd Floor, VR Bangalore, Mahadevapura, Whitefield, Bangalore",Dhadoom,No,No,3.7,0,Whitefield,Food Court,,"Italian, Mexican, Burger, Fast Food",450.0,Delivery,Whitefield,0
"75, Kanakapura Road, Vasavi Circle, V.V Puram, Basavanagudi, Bangalore",Havmor,Yes,No,3.8,21,Basavanagudi,Dessert Parlor,,"Ice Cream, Desserts",200.0,Delivery,Banashankari,0
"9/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250.0,Dine-out,Banashankari,1
"1, LaCasa Compound, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore",Ooty Chocolates,Yes,No,3.3,9,Sarjapur Road,Dessert Parlor,,Desserts,300.0,Delivery,Sarjapur Road,0
"12/3 JR Complex, Opposite Traffic Police Station, Nanjappa Layout, Koramangala 5th Block, Bangalore",Cafemoto,Yes,No,4.0,201,Koramangala 5th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800.0,Delivery,Koramangala 4th Block,1
"39, 18th Main, 7th Cross, BTM 1st Stage Opposite HDFC ATM, BTM, Bangalore",Shake The Shake,Yes,No,3.7,0,BTM,Beverage Shop,,Juices,200.0,Delivery,JP Nagar,0
"Opposite Vinayaka Cinemas, Varthur Main Road, Whitefield, Bangalore, Bengaluru",VIHAR Family Restaurant,No,No,4.0,69,Whitefield,Casual Dining,"Sea Food, Murgh Ghee Roast, Chicken Handi","Chinese, North Indian, Mangalorean",600.0,Delivery,Whitefield,1
"54/2, MKK Road, Srirampura, Opposite Devaiah Park, Rajajinagar, Bangalore",Malgudi's Donne Biriyani,No,No,3.8,102,Rajajinagar,Quick Bites,,Biryani,350.0,Dine-out,Rajajinagar,1
"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",Gufha - The President Hotel,Yes,Yes,4.1,1885,Jayanagar,Casual Dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Mughlai, Afghan",1200.0,Delivery,Jayanagar,1
"St Patricks Complex, 2nd Floor, Brigade Road, Ashok Nagar",The Adukkala Restaurant,Yes,No,3.6,41,Brigade Road,Casual Dining,,Kerala,500.0,Delivery,Church Street,0
"Venkatapura Main Road, Koramangala 1st Block, Bengaluru",Salkara Arabian Delight & Bakes,Yes,No,3.7,0,Koramangala 1st Block,Quick Bites,,"Arabian, Biryani, Beverages, Rolls",300.0,Dine-out,BTM,0
"225/226, Omkar Nagar, Arkere, Bannerghatta Road, Bangalore",Andhra Bhojanam,No,No,3.6,21,Bannerghatta Road,Casual Dining,,"North Indian, South Indian, Andhra",600.0,Dine-out,Bannerghatta Road,0
"The Monarch Luxur, 67, Infantry Road, Bangalore",Cafe Monarch Luxur,No,No,3.8,23,Infantry Road,Casual Dining,,"North Indian, South Indian, Chinese, Fast Food",800.0,Dine-out,Brigade Road,0
"15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore",AKSHAYA BIRYANI,Yes,No,3.6,20,Sarjapur Road,Quick Bites,,"Biryani, North Indian",300.0,Dine-out,Bellandur,0
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700.0,Cafes,Jayanagar,1
"919, 6th B main, Near Wipro Signal, 1st Block, Koramangala 1st Block, Bangalore",Tawa,Yes,No,3.4,25,Koramangala 1st Block,Quick Bites,,North Indian,200.0,Delivery,Koramangala 6th Block,0
"4/1, 7th Main Road, SR Nagar, Richmond Road, Bangalore",The Biryani Paradise,No,No,3.8,32,Richmond Road,Quick Bites,,"Biryani, South Indian",350.0,Delivery,Church Street,0
"44/1, Bull Temple Road, Near Dodda Ganapati Temple, Basavanagudi, Bangalore",Cake Yard,Yes,No,3.3,9,Basavanagudi,Dessert Parlor,,Desserts,250.0,Desserts,Banashankari,0
"1st Floor, Shanthamma Building, Behind Shell Petrol Bunk, Nallurhalli Road, Siddhapura, Marathahalli, Bangalore",Chatora,Yes,No,3.5,108,Marathahalli,Quick Bites,"Chole Bhature, Paratha, Veg Thali, Poori Bhaji, Chaat, Chhole Bhature","North Indian, Fast Food, Street Food",300.0,Dine-out,Brookefield,0
"Mota Royal Arcade, Brigade Road, Bangalore",Dunkin' Donuts,Yes,No,4.1,1079,Brigade Road,"Quick Bites, Dessert Parlor","Burgers, Coffee, Chocolate Donut, Bagel, Chocolate Drink, Dunkaccinos, Hot Chocolate","Burger, Desserts, Fast Food",550.0,Dine-out,Brigade Road,1
"14th Main, 4th Sector HSR, Bangalore",MRA,Yes,No,3.7,25,HSR,"Takeaway, Delivery",,Bakery,200.0,Delivery,HSR,0
"18/1, First Floor, HMR Complex, Above ""Phulke Ghar Me"", Bellandur Cross Road, Bellandur, Bangalore, India",Butter Side Up,Yes,No,4.1,111,Bellandur,Dessert Parlor,"Cup Cake, Pie, Red Velvet, Chocolate Cake, German Chocolate","Desserts, Bakery",600.0,Delivery,Sarjapur Road,1
"86, 1st Cross, I Block, Ward 68, Koramangala 1st Block, Bangalore",UBQ by Barbeque Nation,Yes,No,3.4,6,Koramangala 1st Block,Delivery,,"North Indian, BBQ, Biryani, Kebab",450.0,Delivery,Koramangala 5th Block,0
"15, 3rd Floor, Sankey Main Road, Lower Palace Orchard, Above Indus Ind Bank, Sadashiv Nagar, Bangalore",Barbecued - By The Orchard,No,Yes,4.3,592,Sadashiv Nagar,Casual Dining,"Vegetable Biryani, Panipuri, Chaat, Paneer Tikka, Lunch Buffet, Curd Rice, Vegetarian",North Indian,1200.0,Dine-out,Malleshwaram,1
"59, 9th Main, Old Gurappanapalya, BTM, Bangalore",Ilyazsab The House Of Chicken,Yes,No,4.0,118,BTM,Quick Bites,,"Rolls, Kebab",250.0,Delivery,Jayanagar,1
"1st Floor, 1st Cross, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",World In A Bowl,Yes,No,3.6,20,Koramangala 7th Block,Delivery,,"Continental, North Indian, Desserts, Beverages",600.0,Delivery,Koramangala 5th Block,0
"59/4, Velankani Drive, Doodathogur Begur Hobli, Opposite BHEL Gate 3, Phase 1, Electronic City, Bangalore",Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600.0,Dine-out,Electronic City,1
"HSR Club Road, Sector 3, HSR, Bangalore",Sri Gurudev Darshini,Yes,No,3.4,13,HSR,Quick Bites,,South Indian,150.0,Delivery,BTM,0
"10, Hyderabad Darbar, Shanthipura Road, Electronic City Phase 2, Electronic City, Bangalore",Chination,Yes,No,3.7,0,Electronic City,Delivery,,Chinese,600.0,Delivery,Electronic City,0
"23, 1st Floor, Gowri Annex, 80ft Road, ST Bed, Koramangala 4th Block, Bangalore",Cheers Pub Bar & Restro,No,Yes,3.7,0,Koramangala 4th Block,"Pub, Bar","Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Mai Thai, Spaghetti","Continental, Finger Food, Pizza, North Indian, Bar Food",1100.0,Dine-out,Koramangala 7th Block,0
"503, 6th Cross Road, Koramangala 6th Block, Bangalore",Podi Idly,Yes,No,4.3,656,Koramangala 6th Block,Quick Bites,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",South Indian,250.0,Delivery,Koramangala 7th Block,1
"915, Ground Floor, 80 Feet Road, Koramangala 6th Block, Bangalore",Go Italia,Yes,No,4.0,783,Koramangala 6th Block,Casual Dining,"Pizza, Pasta, Garlic Bread, Veg Burger, Wine, Minestrone Soup, Chocolate Cake","Italian, Pizza, Fast Food, Salad",750.0,Delivery,Koramangala 7th Block,1
"2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore",Hara Fine Dine,Yes,Yes,4.0,633,Banashankari,Casual Dining,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Lassi, Jal-jeera","North Indian, Chinese",800.0,Delivery,Jayanagar,1
"113, Basaveshwara Nagar Circle, Swati Complex, Basaveshwara Nagar",Sri Gundappa Sweets,No,No,3.7,0,Basaveshwara Nagar,Sweet Shop,,Mithai,400.0,Delivery,Rajajinagar,0
"39, 15th Cross, Besides HDFC Bank, 4th Phase, JP Nagar, Bangalore",Two Friends Cauldron,Yes,Yes,4.1,448,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700.0,Delivery,Bannerghatta Road,1
"204, 5th Main, 7th Cross, 1st Stage, Off 100 Feet Road, Indiranagar, Bangalore",Imli,Yes,No,3.9,1849,Indiranagar,Casual Dining,"Potato Fries, Imli, Missi Rotis, Jalebi, Chaat, Shikanji, Ginger Tea","North Indian, Street Food",800.0,Delivery,MG Road,1
"296, Ground Floor, 5th Phase, 100 Feet Outer Ring Road, JP Nagar, Bangalore",Chicken Man,Yes,Yes,3.8,72,JP Nagar,Quick Bites,"Chicken Grill, Roast Chicken, Chicken Wings, Sweet Potato Mash, Pulled Chicken Burger, Sweet Potato Fries","Roast Chicken, Burger",400.0,Delivery,BTM,1
"467, Ground Floor, 80 Feet Road, Opposite BMTC Bus Depot, Koramangala 6th Block, Bangalore",Gorilla Barfare,No,No,4.2,272,Koramangala 6th Block,"Pub, Casual Dining","Cocktails, Dessert Pizza, Nachos, Beef Chilli, Long Island Iced Tea, Beer, Salsa","Continental, Pizza, Burger",1400.0,Dine-out,Koramangala 7th Block,1
"39/2/19, 2nd Cross, Bhavani Nagar, SG Palya, BTM, Bengaluru",Sri Venkateswara Andra Mess,No,No,3.7,0,BTM,Quick Bites,,South Indian,120.0,Dine-out,BTM,0
"10, 1st Cross, 5th A Block, Near Jyothinivas College",Just Bake,Yes,No,3.8,123,Koramangala 5th Block,Bakery,"Coffee, Cup Cake","Bakery, Desserts",400.0,Desserts,Koramangala 5th Block,1
"6, 3rd B Cross, 18th Main, Kuvempu Nagar, BTM, Bangalore",Manchu Cafe,Yes,No,3.7,24,BTM,Quick Bites,,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300.0,Delivery,Koramangala 7th Block,0
"Lacasa Compound, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore",Lassi Shack,Yes,No,3.7,35,Sarjapur Road,"Beverage Shop, Dessert Parlor",,"Beverages, Ice Cream",200.0,Delivery,Sarjapur Road,0
"22, 6th A cross, Jakkasandra Extension, Koramangala 1st Block opposide Agara lake near the dhanush driving school.Bangalore",The Kitchen,Yes,No,3.6,9,Koramangala 1st Block,Quick Bites,,North Indian,300.0,Delivery,HSR,0
"11, Eat Street, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Kaaram,Yes,No,3.9,327,Koramangala 6th Block,Casual Dining,"Mughlai Biryani, Vegetable Biryani, Kaaram Biryani, Gulab Jamun, Raita, Kebab Biryani, Dum Biryani","Andhra, Biryani",500.0,Delivery,Koramangala 6th Block,1
"2, Opposite ICICI Bank ATM Satyappa Buildings, Sri Rama Temple Street, Ejipura, Bangalore",The Chef's Cake & Bakes,Yes,No,3.7,0,Ejipura,Delivery,,Bakery,450.0,Delivery,Koramangala 4th Block,0
"Arab Lane, B Street, 2nd Cross, Richmond Road, Bangalore",Rizq Restaurant,No,No,3.7,0,Richmond Road,Quick Bites,,Biryani,150.0,Dine-out,Residency Road,0
"14, Pipeline Road, MSR Nagar, New BEL Road, Bangalore",Basil Joint,Yes,No,3.5,24,New BEL Road,"Takeaway, Delivery",,"Fast Food, Beverages",300.0,Delivery,Malleshwaram,0
"L-373, 5th Main Road, 6th Sector, HSR, Bangalore",TGS Retails,No,No,3.3,4,HSR,"Takeaway, Delivery",,"Bakery, Desserts",600.0,Delivery,BTM,0
"418/2, Green Leaf Layout, 80 Feet Road, Koramangala 4th Block, Bangalore",Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750.0,Delivery,Koramangala 7th Block,1
"29, Church Street, Bangalore",Russh Gastropub,No,No,4.2,1359,Church Street,Pub,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Chicken Bbq Wings","Continental, Italian, Burger",1100.0,Drinks & nightlife,Residency Road,1
"22, B.H.B.C.S Layout, Opposite Infosys, 2nd Stage, BTM, Bangalore",Chokha Chowka,Yes,No,3.9,357,BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer","North Indian, Chinese",400.0,Dine-out,BTM,1
"32/9, Near Mahadeshwara Layout Bus Stop, 16th Main, 15th Cross, 2nd Stage, BTM, Bangalore",Taste Of Kolkata,Yes,No,3.1,60,BTM,Quick Bites,,"Bengali, Chinese, Rolls",400.0,Delivery,Koramangala 7th Block,0
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,3.7,0,Shivajinagar,"Cafe, Bakery",,"Cafe, Bakery",400.0,Desserts,Brigade Road,0
"100, Near Village Super Market, Wheeler Road Extention, Cooke Town, Frazer Town, Bangalore",Leia Soul Food,No,No,3.8,41,Frazer Town,Bakery,"Chocolate Mousse, Oreo Cheesecake",Bakery,500.0,Delivery,Frazer Town,0
"52, Dayanad Sagar, College Road, Teachers Colony, Kumaraswamy Layout, Bangalore",Donne Biriyani combos,Yes,No,3.7,0,Kumaraswamy Layout,Casual Dining,,Biryani,400.0,Delivery,JP Nagar,0
"128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",Dreamcatcher,Yes,No,3.9,49,Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600.0,Cafes,Bannerghatta Road,0
"66, 1st Cross Road, KEB Colony, New Gurappana Palya, 1st Stage, BTM Layout, Bangalore",Armaani Caffe,Yes,No,3.5,12,BTM,Quick Bites,,Fast Food,250.0,Delivery,JP Nagar,0
"17/3, Residency Road, Bangalore",Bowring Kulfi,No,No,4.0,100,Residency Road,Dessert Parlor,"Kulfi, Mango Juice, Kesar Pista, Lassi","Ice Cream, Desserts",150.0,Desserts,Lavelle Road,1
"Gateway Hotel, 66, Residency Road, Bangalore",Northern Gate- Gateway Hotel,No,Yes,4.0,102,Residency Road,Casual Dining,"Cut Fruits, Pasta, Sunday Brunch",North Indian,1900.0,Dine-out,Lavelle Road,1
"Opposite Airtel Showroom, 2A Cross, East of NGEF, 2nd Main Road, Kasturi Nagar Banaswadi, Banaswadi, Bangalore",Victoria Terminus,Yes,No,2.9,54,Banaswadi,Quick Bites,"Vada Pav, Kulfi, Mumbai Sandwich, Rolls, Keema Roll","Fast Food, Maharashtrian, Rolls",250.0,Delivery,Kalyan Nagar,0
"225, Bhagyasri, 1st Main, HAL 2nd Stage, Service Road, Indiranagar, Bangalore",Vietnamese Kitchen,Yes,Yes,4.1,537,Indiranagar,Casual Dining,"Pho, Pad Thai, Jasmine Tea, Chocolate Shake, Spring Roll, Thai Green Curry, Momos","Chinese, Vietnamese, Momos, Thai",800.0,Dine-out,Old Airport Road,1
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Delivery,Basavanagudi,1
"62, 24th Main, 7th Cross, 2nd Phase, Opposite to R V Dental College, JP Nagar, Bangalore",Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",Rajasthani,300.0,Delivery,Basavanagudi,1
"487, Kavery Complex, 2nd Main, Bank Colony Bus Stop, Srinivasnagar, Banashankari, Bangalore",Sri Venkateshwara Chat Centre,No,No,3.5,12,Banashankari,Quick Bites,,Street Food,100.0,Dine-out,Banashankari,0
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",Mikusu - Conrad Bengaluru,No,Yes,4.1,80,Ulsoor,Fine Dining,"Sushi, Noodles","Japanese, Chinese, Thai",3000.0,Dine-out,Indiranagar,1
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,Yes,No,4.1,129,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900.0,Desserts,Lavelle Road,1
"Sector 11, LIC Housing Colony, 10th Main, Jeevan Bhima Nagar, Bangalore",Hotel Karavali,Yes,No,3.7,257,Jeevan Bhima Nagar,Quick Bites,"Sea Food, Fish, Tomato Masala, Murgh Ghee Roast, Neer Dosa, Ghee Roast Mutton, Mutton Sukha","Biryani, North Indian, Mangalorean, Seafood",450.0,Delivery,Indiranagar,0
"47, Jyothi Nivas College, Tibet Mall, Koramangala 5th Block, Bangalore",Rimo,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,,"Tibetan, Asian, Momos",500.0,Delivery,BTM,0
"Fairfield by Marriott, Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bangalore",Kava - Fairfield by Marriott,No,Yes,3.9,291,Bellandur,Casual Dining,"Tea, Salads, Fish, Chicken Biryani, Breakfast Buffet, Salad, Noodles","North Indian, South Indian, Continental",1500.0,Buffet,Sarjapur Road,1
"4, Kalpavuruksha Nilaya, 5th Main, 13th Cross, Sokkappa Layout, Gm Palya, Thippasandra, Bangalore",Hungry Darjeeling Chinese and Thai,Yes,No,3.7,0,Thippasandra,Quick Bites,,"Chinese, Thai",400.0,Dine-out,Old Airport Road,0
"Ramesh Nagar, Vimanapura, Bengaluru, Karnataka",Crunch Pizzas,No,No,2.8,110,Marathahalli,Quick Bites,Pepperoni Pizza,"Italian, Pizza",600.0,Delivery,Marathahalli,0
"107, 4th Floor, Art Arcade, 80Ft Road, Koramangala 4th Block, Bangalore",Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza","Cafe, Continental, Italian, Burger, Pizza",650.0,Cafes,Koramangala 7th Block,1
"101, 1st Floor, 3rd Cross, Narayana Reddy Layout, 80 Feet Road, Koramangala 6th Block, Bangalore",Midnight Mania,Yes,No,4.1,725,Koramangala 6th Block,Delivery,"Paneer Tikka Pizza, Veggie Pizza, Chocolate Tart, Peri Peri Chicken Pizza, Pasta, Kit Kat Shake, Burgers","Pizza, Italian, Beverages",700.0,Delivery,Koramangala 5th Block,1
"13(29), 2nd Cross, Opposite St. Johns Wood Apartment, Taverekere Main Road, BTM, Bangalore",Fillers,Yes,No,3.9,139,BTM,Quick Bites,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal","North Indian, Fast Food",300.0,Delivery,Koramangala 5th Block,1
"Hotel Grand Bee, 37/1, Railway Parallel Road, Near R.T.O, Yeshwantpur, Bangalore",Makaranda,No,No,3.5,14,Yeshwantpur,Casual Dining,,"North Indian, Chinese, South Indian, Mughlai",750.0,Dine-out,Malleshwaram,0
"238, Opposite EGL, 100 Feet Road, Inner Ring Road, Domlur, Bangalore",SLV Andhra Mess,Yes,No,3.5,6,Domlur,Quick Bites,,"Chinese, North Indian",200.0,Delivery,Koramangala 7th Block,0
